,A,B,C,D
0,0.7857774105627386,0.8766512721159363,0.22201510817630898,0.2157175594556655
1,0.2569446680247244,0.0742896490591719,0.739033743334788,0.6677220757110809
2,0.25852491137788625,0.6877032952718497,0.06608179064627084,0.07503000098848955
3,0.9312037241368883,0.5730044514142285,0.8324780565106796,0.8925913424806072
4,0.41857594306131707,0.5165430610279269,0.4494570081772503,0.28773182776731676
5,0.42365960714878736,0.26690415766935516,0.14858628934812002,0.8926714994025602
6,0.36868312305813733,0.8340545288208486,0.7862107624301158,0.18179155978732375
7,0.5922104400532491,0.05322679304166744,0.5987118450117004,0.27485384758479037
8,0.23472067759651372,0.4187245924674715,0.5544339958589907,0.7246122825522727
9,0.1795177360183956,0.29371810101668594,0.5228828480212258,0.7227599656609873
