0.0376,0.85243,-0.17755,0.59755,-0.44945,0.60536,-0.38223,0.84356
-0.04549,0.50874,-0.67743,0.34432,-0.69707,-0.51685,-0.97515,0.05499
0.01198,0.73082,0.05346,0.85443,0.00827,0.54591,0.00299,0.83775
-0.16399,0.52798,-0.20275,0.56409,-0.00712,0.34395,-0.27457,0.5294
0.06637,0.03786,-0.06302,0.0,0.0,-0.04572,-0.1554,-0.00343
-0.27342,0.79766,-0.47929,0.78225,-0.50764,0.74628,-0.61436,0.57945
-0.36174,0.9257,-0.43569,0.9451,-0.40668,0.90392,-0.46381,0.98305
-0.2681,-0.45663,-0.38172,0.0,0.0,-0.33656,0.38602,-0.37133
-0.43107,1.0,-0.41349,0.96232,-0.51874,0.90711,-0.59017,0.8923
-0.19277,0.94055,-0.35151,0.95735,-0.29785,0.93719,-0.34412,0.94486
