8.483123950759120513e-01,2.374661301401010949e-01,3.454461031869201504e-01,3.691324367523984851e-01,9.084974681942378227e-01
7.857400678619863577e-01,3.260936636737509220e-01,3.814034650953789241e-01,7.018535643716194983e-02,2.852607164259480799e-01
4.261087682684409073e-01,3.773113399707895832e-01,5.623517846845969004e-01,6.127599051934041752e-01,9.595933009943848901e-01
3.427880892913348632e-03,4.231638362139346077e-01,9.760171278610275669e-01,9.065683487817658426e-01,8.908170266698116624e-01
5.542119312115353358e-01,4.960029605716147483e-01,5.230616500171876293e-01,6.717882706110993585e-01,3.134489323072162659e-01
2.688059137281771926e-01,8.283930847809967135e-01,2.900035805650167386e-01,5.609233039188047387e-01,7.751502875916969071e-01
5.274672185125982571e-01,3.549419055276376023e-01,1.801500429842417539e-02,4.703744123316259129e-01,7.475208951280587488e-01
7.367717714627985970e-01,1.947968562254625002e-01,2.594613871665623073e-01,1.568377021867052301e-01,2.091289266621255694e-01
7.192937769804312875e-01,8.627191251514737536e-01,9.401341959767079981e-01,8.360446419769750337e-01,3.163413460387729526e-01
1.872310978479607702e-02,9.581977003585107067e-02,4.628669723269974723e-01,4.614356137488965226e-01,3.673194180497429961e-01
9.408523887454082191e-01,6.077007150432045535e-02,5.821944432745068676e-01,2.608781578042251859e-01,2.485792111272088212e-01
2.879366701311123489e-01,9.014916020536215546e-01,1.204006527049256148e-01,8.061002878741552191e-01,8.184760594870184036e-01
6.617754539670133163e-01,5.666647595649912938e-01,4.720336437486660763e-02,7.227835493490468721e-01,2.776857302158705076e-01
8.741293095256639223e-01,4.134583585646163240e-01,5.710623788139982393e-01,9.010655333861938843e-02,2.899954082309923464e-01
7.566478348421097344e-01,6.360253765528511849e-03,1.558175972856830072e-01,5.556954348690865686e-01,1.985897778098015820e-01
